sequence,16S_rRNA_Count
086dc2062d152483db513249ba111b8f,1
086f53ac606b86eb3dca93a0a0310fdb,1
0872bbc006466534cc222de95e20b6b4,3
088d81ce22b769292b02801df4f0a042,1
088dfe02e23e7f7f50af16150ba438de,1
08926b14c9be319e4f99d4714b527962,1
089597dac27f3cb3c5060478b83870d7,3
08995e75a7ca6942a1239a6c00ae3ac6,1
08a23a4d18eb0625b6fc07fac913bc7a,2
08a7c5a9c0c01a57fca509c5c45234aa,3
08aede33f13a7bf56ea7849e5c2a9d58,1
08afa2b98c9160089b3f9c8d78b52ee2,3
08b1aa9d5961b4ee5c9e77491a0450e6,1
08b261af1ec2359f0b9295d171e8fb38,1
08b7d1ec9b601f4166aed8bef8598c81,1
08ca3c4a54383e12feab902168fe28bb,1
08d215670a669003b801b09c4a3a9ba4,1
08d610b5a94b8b5e99d3455eb60efc5d,1
08de26b6f63a4050ae8f5a1e9b437093,1
08deb806f4e8b8881188a3f594d0d05c,1
08e0a73919341d7038498d220abb5ef3,1
08e45158ffd190cf6ee5aef05d6d038d,1
08e735ec9dbad0fc44bf61529153723e,1
08f7d7ab17201111a79efba8549ddc95,2
08f8134496726f05795f0565bcb15c00,1
08f98c19aa668428af49bebecb51f95f,1
09017d74622ed0bac83f48e80c4cd34a,1
09058abb6bc6821de2d35db7d4356cc6,1
09099034a975d013938259f5c47f3562,1
091252821d0f90602eca264d15e5cb92,3
09127a9f504ccbd8bc78bdeda394b410,3
09168f2386c52f5567d2cff6d391721d,2
091827b3d9c8fa2b8b91fdc0d0ab2239,1
091bad9fd383f533b121ed9867603577,1
091dad4f2d8b004ad8705c9e76eba232,1
091f07d023f1af0e6c0cecad2b1713b5,1
0922871c927c7a4db3a17939fe824c1b,1
09370cacb7a4e45e6181ede9534e8460,3
09382f93702f4457761308c2cbe0221b,1
09387c51828b4c640ce6fd6122939f78,1
09433ad9e2dfbf7d7fb2be9137157403,1
0957178338e0fe58b08442d61936fff0,1
095b5f69ef45e46c8cafffd6b678da53,1
096491efe09f9af0aec26674cd34bb22,2
09657bc69e8becd6dfc7e496c0881bc3,3
0975d4ed2fcc80ef563bc0777c3af313,2
0977a8c65617c7c31e1b6af27d71ad2b,1
0982d1a49dfcec8d8e5cba8d5080ffc0,1
0984ee51357e78c93870fbf31c1a9897,1
098b4dff2473318e381a37bdd5c39c32,1
098d08fda1d253c80965e4991589f699,1
0991b2995509039217b6ed4919b77e9f,1
0992fa53ac00998e2baeb6aeec986851,1
